ProjectId,Program,Country,CountryFundingBody,FundingBody,LeadInstitution,StartDate,EndDate,FundingAmount,FundingCurrency
FIS/2015/031,Fisheries,Australia,,ACIAR,WorldFish Center,OCT 2015,OCT 2017,1651803,AUD
LPS/2014/037,Livestock Systems,Australia,,ACIAR,University of Queensland,OCT 2015,JUN 2020,1875876,AUD
SMCN/2014/089,Soil and Land Management,Australia,,ACIAR,Secretariat of the Pacific Community,OCT 2015,SEP 2020,1030589,AUD
FST/2014/067,Forestry,Australia,,ACIAR,Griffith University,OCT 2015,MAR 2021,2416910,AUD
FIS/2014/060,Fisheries,Australia,,ACIAR,National Fisheries Authority,SEP 2015,JUN 2021,2264620,AUD
ADP/2012/107,Livestock Systems,Australia,,ACIAR,University of Queensland,SEP 2015,DEC 2020,1799646,AUD
FST/2014/068,Forestry,Australia,,ACIAR,University of Tasmania,JUL 2015,DEC 2020,1826860,AUD
FST/2014/069,Forestry,Australia,,ACIAR,University of the Sunshine Coast,JUL 2015,JAN 2020,1300774,AUD
FIS/2014/063,Fisheries,Australia,,ACIAR,Southern Cross University,JUL 2015,MAY 2021,1199851,AUD
FIS/2014/059,Fisheries,Australia,,ACIAR,James Cook University,JUL 2015,DEC 2019,1870631,AUD
FST/2014/064,Forestry,Australia,,ACIAR,CSIRO,JUL 2015,NOV 2019,1027447,AUD
FST/2014/065,Forestry,Australia,,ACIAR,"Department of Agriculture and Fisheries, Queensland",JUL 2015,SEP 2019,1058882,AUD
FST/2014/066,Forestry,Australia,,ACIAR,Griffith University,JUL 2015,NOV 2020,1199998,AUD
LWR/2014/085,Water,Australia,,ACIAR,CSIRO,JUN 2015,DEC 2019,3248006,AUD
FIS/2015/034,Fisheries,Australia,,ACIAR,"Agency for Research and Human Resources Development Marine and Fisheries, Indonesia",JUN 2015,JUN 2016,50000,AUD
LWR/2015/035,Water,Australia,,ACIAR,CSIRO,JUN 2015,SEP 2016,140000,AUD
FST/2014/099,Forestry,Australia,,ACIAR,University of the Sunshine Coast,JUN 2015,DEC 2019,3569080,AUD
CSE/2015/012,Crops,Australia,,ACIAR,University of Sydney,JUN 2015,AUG 2016,170340,AUD
HORT/2014/100,Horticulture,Australia,,ACIAR,Bioversity International,JUN 2015,AUG 2017,149461,AUD
LWR/2015/019,Water,Australia,,ACIAR,University of Canberra,JUN 2015,SEP 2015,47000,AUD
LPS/2015/017,Livestock Systems,Australia,,ACIAR,International Livestock Research Institute,JUN 2015,SEP 2016,125000,AUD
LWR/2015/011,Water,Australia,,ACIAR,University of Arid Agricultural Rawalpindi,JUN 2015,SEP 2016,112000,AUD
FST/2014/093,Forestry,Australia,,ACIAR,World Agroforestry Centre,JUN 2015,NOV 2019,3000001,AUD
AH/2011/014,Livestock Systems,Australia,,ACIAR,University of Sydney,JUN 2015,DEC 2018,899999,AUD
FIS/2014/062,Fisheries,Australia,,ACIAR,University of New South Wales,MAY 2015,MAY 2021,1600352,AUD
FIS/2015/006,Fisheries,Australia,,ACIAR,Southeast Asian Fisheries Development Centre,MAY 2015,DEC 2017,150000,AUD
FIS/2014/104,Fisheries,Australia,,ACIAR,,APR 2015,JUN 2016,149868,AUD
SMCN/2014/050,Soil and Land Management,Australia,,ACIAR,University of Queensland,MAR 2015,OCT 2015,117820,AUD
LPS/2005/128,Livestock Systems,Australia,,ACIAR,University of New England,FEB 2015,DEC 2017,1387260,AUD
AH/2012/067,Livestock Systems,Australia,,ACIAR,University of Sydney,FEB 2015,JAN 2020,1249999,AUD
AH/2012/068,Livestock Systems,Australia,,ACIAR,University of Sydney,FEB 2015,JAN 2020,1970009,AUD
AH/2012/066,Livestock Systems,Australia,,ACIAR,University of Queensland,JAN 2015,JUN 2019,1886698,AUD
CSE/2014/086,Crops,Australia,,ACIAR,Charles Sturt University,DEC 2014,APR 2017,450020,AUD
SMCN/2012/071,Soil and Land Management,Australia,,ACIAR,Charles Sturt University,DEC 2014,FEB 2020,2009841,AUD
SMCN/2012/103,Soil and Land Management,Australia,,ACIAR,NSW Department of Primary Industries,DEC 2014,JUN 2019,1045002,AUD
LPS/2012/064,Livestock Systems,Australia,,ACIAR,CSIRO,DEC 2014,NOV 2019,1122780,AUD
HORT/2012/083,Horticulture,Australia,,ACIAR,Sugar Research Australia Limited,OCT 2014,JUN 2019,978799,AUD
LWR/2012/079,Water,Australia,,ACIAR,University of Southern Queensland,SEP 2014,JUN 2019,2510502,AUD
FST/2012/092,Forestry,Australia,,ACIAR,University of Melbourne,AUG 2014,MAR 2019,1106220,AUD
HORT/2012/026,Horticulture,Australia,,ACIAR,University of Sydney,JUL 2014,NOV 2018,1109194,AUD
CIM/2012/086,Crops,Australia,,ACIAR,University of Queensland,JUL 2014,JUN 2022,1327210,AUD
LPS/2013/020,Livestock Systems,Australia,,ACIAR,University of Queensland,JUN 2014,MAY 2016,100000,AUD
FSC/2013/019,Crops,Australia,,ACIAR,University of Queensland,JUN 2014,MAR 2023,1435000,AUD
HORT/2012/087,Horticulture,Australia,,ACIAR,Charles Sturt University,JUN 2014,FEB 2020,615757,AUD
HORT/2010/065,Horticulture,Australia,,ACIAR,University of Queensland,JUN 2014,FEB 2019,788419,AUD
CSE/2012/077,Crops,Australia,,ACIAR,University of Queensland,JUN 2014,AUG 2019,1499990,AUD
HORT/2012/097,Horticulture,Australia,,ACIAR,Queensland Department of Agriculture and Fisheries,JUN 2014,DEC 2019,1002051,AUD
SMCN/2014/014,Soil and Land Management,Australia,,ACIAR,University of Adelaide,JUN 2014,MAY 2015,85525,AUD
